ABE;C6G026ABE;1368.6;2;0;Барабан тормозной FORD CONNECT 2002-2013 ABE
ABE;C63016ABE;1266.77;2;0;Барабан тормозной FORD FIESTA 2001-2012 ABE
ABE;C6G024ABE;793.6;6;0;Барабан тормозной FORD FIESTA 2008-2019 ABE
ABE;C6G017ABE;1300.0;2;0;Барабан тормозной FORD TRANSIT 1991-2000 (D=254MM Т12) ABE
ABE;C6G018ABE;1583.23;2;0;Барабан тормозной FORD TRANSIT 1991-2000 (D=280MM T15) ABE
ABE;C6G022ABE;1471.34;2;0;Барабан тормозной FORD TRANSIT 2000- (D=254MM FWD) ABE
ABE;C6G023ABE;1894.82;2;0;Барабан тормозной FORD TRANSIT 2000-2006 (SINGLE WHEEL FWD) ABE
ABE;C63021ABE;1789.94;2;0;Барабан тормозной задний FORD RANGER 1998-2020 ABE
ABE;C4G011ABE;710.06;2;0;Диск тормозной задний FORD CONNECT 2002-2013 ABE
ABE;C4G002ABE;564.33;2;0;Диск тормозной задний FORD FIESTA/FUSION/SCORPIO/SIERRA/FOCUS 1982-2019 ABE
ABE;C4G014ABE;545.12;2;0;Диск тормозной задний FORD FOCUS 2003-2011 ABE
ABE;C4G009ABE;623.17;4;0;Диск тормозной задний FORD FOCUS/C-MAX 2003-2011 ABE
ABE;C4G012ABE;718.9;2;0;Диск тормозной задний FORD MONDEO/FOCUS/KUGA 2007-2014 ABE
ABE;C4G010ABE;785.67;1;0;Диск тормозной задний FORD TRANSIT 2006-2014 (D=280 FWD) ABE
ABE;C3G035ABE;971.04;2;0;Диск тормозной передний FORD CONNECT 2002-2013 ABE
ABE;C3G038ABE;927.74;2;0;Диск тормозной передний FORD FIESTA 2008-2019 ABE
ABE;C3G015ABE;682.32;4;0;Диск тормозной передний FORD FIESTA/FUSION/FOCUS 2001-2012 ABE
ABE;C3V022ABE;992.38;10;0;Диск тормозной передний FORD FOCUS/C-MAX 2003-2018 ABE
ABE;C3V026ABE;1202.13;2;0;Диск тормозной передний FORD FOCUS/KUGA/CONNECT 2008-2020 ABE
ABE;C3G031ABE;655.79;2;0;Диск тормозной передний FORD TRANSIT 1985-1991 ABE
ABE;C3G026ABE;793.9;4;0;"Диск тормозной передний FORD TRANSIT 1992-2000 (R=14"" T12) ABE"
ABE;C3G027ABE;874.39;4;0;"Диск тормозной передний FORD TRANSIT 1992-2000 (R=15"" T15) ABE"
ABE;C3G034ABE;827.13;2;0;Диск тормозной передний FORD TRANSIT 2000-2006 (FWD) ABE
ABE;C3G033ABE;931.71;4;0;Диск тормозной передний FORD TRANSIT 2000-2006 ABE
ABE;C21041ABE;457.32;3;0;Колодки тормозные задние FORD CONNECT 2002-2013 (Диск) ABE
ABE;C0G021ABE;409.76;1;0;Колодки тормозные задние FORD ESCORT/ORION 1990-2001 ABE
ABE;C0G055ABE;470.73;1;0;Колодки тормозные задние FORD FIESTA 2008-2019 ABE
ABE;C0G046ABE;541.46;2;0;Колодки тормозные задние FORD FIESTA/FUSION 2001-2012 ABE
